element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
50,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-14560,37579,101,14661,2,Diego Carlos,2
51,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1753,8495,257,2010,2,El Ghazi,3
52,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1490,6998,0,1490,2,Davis,4
53,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,12,11.8,12.8,0.0,2.5,50,-2490,17163,1315,3805,2,Kamara,3
54,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,45,-55495,614747,17032,72527,2,Archer,4
55,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-33,356,0,33,2,Philogene-Bidace,3
56,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3656,88406,6008,9664,2,Guilbert,2
57,36,12,-2,False,2022-08-27T14:00:00Z,9,0,4,45,0,0,0,5,0,0,0,1,0,0,0,-1,5.4,0.1,0.0,0.6,44,-1574,14900,419,1993,3,Smith,2
58,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-2093,5341,103,2196,3,Stanislas,3
59,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-260,2189,99,359,3,Fredericks,2
60,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-385,1872,76,461,3,Brooks,3
61,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-734,3557,61,795,3,Lowe,3
62,36,12,2,False,2022-08-27T14:00:00Z,9,0,4,90,0,0,0,9,0,0,0,0,0,0,0,7,11.4,1.8,25.0,3.8,55,-1952,127591,22293,24245,3,Moore,4
63,36,12,1,False,2022-08-27T14:00:00Z,9,0,4,8,0,0,0,1,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,49,-198,1737,40,238,3,Marcondes,3
64,36,12,2,False,2022-08-27T14:00:00Z,9,0,4,90,0,0,0,9,0,0,0,0,0,0,0,8,4.0,0.3,6.0,1.0,50,-19906,88836,2878,22784,3,Lerma,3
