element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
559,14,15,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,805,5849,1284,479,5,Colwill,2
560,12,2,0,False,2022-08-13T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,329,1204,402,73,8,Mills,3
561,12,2,0,False,2022-08-13T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2999,7024,3861,862,8,Warrington,3
562,20,20,0,False,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,558,1191,900,342,9,Solomon,3
563,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,460,2381,572,112,12,Chambers,2
564,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,64,355,107,43,12,Bajcetic,3
565,19,17,0,False,2022-08-13T14:00:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1153,3328,1381,228,11,Gray,3
566,20,9,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,596,2078,786,190,20,Hodge,3
567,20,9,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1365,4669,1819,454,20,Ronan,3
568,20,9,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,5868,16292,7416,1548,20,Campbell,3
569,13,4,0,False,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,5182,10058,6156,974,14,Garnacho,3
570,13,4,0,False,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,405,1008,496,91,14,Garner,3
571,18,16,0,False,2022-08-14T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1599,6235,1792,193,19,Randolph,1
572,18,16,0,False,2022-08-14T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,714,2544,951,237,19,Oko-Flex,3
573,17,3,1,True,2022-08-13T14:00:00Z,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.8,0.0,0.2,40,235,1652,297,62,13,Lewis,2
574,17,13,0,False,2022-08-13T14:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,456,2770,548,92,3,Neto,1
575,18,16,1,False,2022-08-14T13:00:00Z,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,60,3130,4719,3968,838,19,Cornet,3
576,17,13,1,False,2022-08-13T14:00:00Z,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,3,3.8,0.0,0.0,0.4,45,321,750,347,26,3,Senesi,2
577,12,2,4,False,2022-08-13T11:30:00Z,2,1,2,9,0,1,0,1,0,0,0,0,0,0,0,11,0.2,0.3,22.0,2.3,50,1089,1754,1211,122,8,Onana,3
578,19,17,0,False,2022-08-13T14:00:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,255,920,312,57,11,Robles,1
579,20,9,1,True,2022-08-13T14:00:00Z,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.2,0.0,0.1,60,4692,7145,5577,885,20,Guedes,3
580,13,14,0,True,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,3253,4851,3878,625,4,Damsgaard,3
584,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0,12,Clark,3
